DepMap_ID,cell_line_name,CELL_LINE_NAME,alias,COSMIC_ID,sample_collection_site,Sanger_Model_ID
ACH-000511,Calu-1,CALU1,,,pleura,
ACH-000512,,INA6,INA-6,,pleural_effusion,
ACH-000514,NCI-H1092,NCIH1092,,687997,bone_marrow,SIDM00653
ACH-000515,HCC-33,HCC33,,1303901,pleural_effusion,SIDM01071
ACH-000516,CAL-78,CAL78,,1290765,soft_tissue,SIDM00929
ACH-000517,SNU-410,SNU410,,,liver,
ACH-000518,CAL-33,CAL33,,753541,upper_aerodigestive_tract,SIDM00942
ACH-000519,PEER,PEER,,,haematopoietic_and_lymphoid_tissue,SIDM00991
ACH-000520,59M,59M,,,ascites,
ACH-000521,NCI-H2030,NCIH2030,,722045,lymph_node,SIDM00715
ACH-000522,UM-UC-3,UMUC3,,724838,urinary_tract,SIDM01182
ACH-000524,KURAMOCHI,KURAMOCHI,,909975,ascites,SIDM00554
ACH-000525,NCI-H2171,NCIH2171,H2171,688015,pleural_effusion,SIDM00733
ACH-000527,OVISE,OVISE,,1240198,bone,SIDM00564
ACH-000528,ABC-1,ABC1,,906791,pleural_effusion,SIDM00494
ACH-000530,DMS 114,DMS114,,687983,lung,SIDM00865
ACH-000532,SNU-61,SNU61,,1660035,liver,SIDM00194
ACH-000534,WSU-DLCL2,WSUDLCL2,,1331050,pleural_effusion,SIDM00413
ACH-000535,BxPC-3,BXPC3,,906693,pancreas,SIDM00132
ACH-000536,BT-20,BT20,,906801,breast,SIDM00893
ACH-000537,SNU-761,SNU761,,,liver,
ACH-000538,HUTU80,HUTU80,,907073,small_intestine,SIDM00694
ACH-000539,Hs 618.T,HS618T,,,fibroblast,
ACH-000540,Hs 606.T,HS606T,,,fibroblast,
ACH-000541,KMS-34,KMS34,,,pleural_effusion,
ACH-000542,Hey-A8,HEYA8,,,ascites,SIDM01215
ACH-000543,SNU-489,SNU489,,,central_nervous_system,
ACH-000544,OE21,OE21,,1298359,oesophagus,SIDM00478
ACH-000545,VM-CUB1,VMCUB1,,909780,urinary_tract,SIDM00414
ACH-000546,HSC-4,HSC4,,907062,upper_aerodigestive_tract,SIDM00588
ACH-000547,HT-1197,HT1197,,907065,urinary_tract,SIDM00676
ACH-000548,BHY,BHY,,753535,upper_aerodigestive_tract,SIDM00986
ACH-000549,SNU-1076,SNU1076,,,upper_aerodigestive_tract,SIDM00168
ACH-000550,IGR-39,IGR39,,,skin,SIDM01065
ACH-000551,K-562,K562,,905940,pleural_effusion,SIDM00791
ACH-000552,HT-29,HT29,,905939,large_intestine,SIDM00136
ACH-000554,UACC-893,UACC893,,909778,breast,SIDM01186
ACH-000555,A-498,A498,,905948,kidney,SIDM00124
ACH-000556,SIHA,SIHA,,930297,cervix,SIDM01093
ACH-000557,AML-193,AML193,,,haematopoietic_and_lymphoid_tissue,
ACH-000558,A-172,A172,,687563,central_nervous_system,SIDM00799
ACH-000559,NCI-H1836,NCIH1836,,1240182,lung,SIDM00770
ACH-000560,ECC10,ECC10,,906848,liver,SIDM00280
ACH-000561,T.T,TDOTT,,1299064,bone,SIDM00322
ACH-000562,HCC-78,HCC78,,1290908,pleural_effusion,SIDM01068
ACH-000563,EBC-1,EBC1,,753554,skin,SIDM00486
ACH-000565,RCM-1,RCM1,,909263,large_intestine,SIDM00359
ACH-000566,SW-1710,SW1710,,909749,urinary_tract,SIDM00420
ACH-000567,ST486,ST486,,910906,ascites,SIDM01198
ACH-000568,UACC-812,UACC812,,910910,breast,SIDM01187
ACH-000569,IST-MES1,ISTMES1,,907173,pleural_effusion,SIDM00224
ACH-000570,YKG1,YKG1,,687592,central_nervous_system,SIDM00315
ACH-000571,T98G,T98G,,687586,central_nervous_system,SIDM01171
ACH-000572,G-361,G361,,906865,skin,SIDM00857
ACH-000573,MDA-MB-436,MDAMB436,,1240172,pleural_effusion,SIDM00629
ACH-000574,FU-OV-1,FUOV1,,1240129,ovary,SIDM01040
ACH-000575,,HCC364,,,lung,
ACH-000576,KMS-27,KMS27,,,haematopoietic_and_lymphoid_tissue,
ACH-000577,JHH-2,JHH2,,1240157,ascites,SIDM00617
ACH-000578,HCC-1171,HCC1171,,,lung,
ACH-000579,UACC-257,UACC257,,905977,skin,SIDM00108
ACH-000580,C32,C32,,906830,skin,SIDM00890
ACH-000581,SNU-16,SNU16,,908446,ascites,SIDM01145
ACH-000582,COLO 741,COLO741,,,skin,
ACH-000583,MC116,MC116,,907799,pleural_effusion,SIDM00637
ACH-000584,JHOS-4,JHOS4,,1480359,ovary,SIDM00303
ACH-000585,EPLC-272H,EPLC272H,,753556,lung,SIDM01044
ACH-000586,NCI-H1876,NCIH1876,,1330972,lymph_node,SIDM00766
ACH-000587,NCI-H1975,NCIH1975,,924244,lung,SIDM00759
ACH-000588,KMS-26,KMS26,,,pleural_effusion,
ACH-000589,NCI-H1437,NCIH1437,,687794,pleural_effusion,SIDM00734
ACH-000590,NCI-H2073,NCIH2073,,,lung,SIDM00757
ACH-000591,,LN235,LN-235,,central_nervous_system,
ACH-000592,TM-31,TM31,,,central_nervous_system,
ACH-000593,BC-3C,BC3C,,,urinary_tract,
ACH-000594,DMS 153,DMS153,,,liver,
ACH-000595,LN-229,LN229,,1240169,central_nervous_system,SIDM00684
ACH-000596,LCLC-97TM1,LCLC97TM1,,946361,lung,SIDM00344
ACH-000597,TTC-709,TTC709,,,soft_tissue,
ACH-000599,PA-TU-8902,PATU8902,,1298526,pancreas,SIDM00455
ACH-000600,SLR 26,SLR26,,,kidney,
ACH-000601,MIA PaCa-2,MIAPACA2,,724870,pancreas,SIDM00505
ACH-000603,BEN,BEN,,753534,lymph_node,SIDM00990
ACH-000604,KYO-1,KYO1,,,haematopoietic_and_lymphoid_tissue,
ACH-000605,TE-6,TE6,,946355,oesophagus,SIDM00328
ACH-000606,PE/CA-PJ34 (clone C12),PECAPJ34CLONEC12,,,upper_aerodigestive_tract,
ACH-000607,KYM-1,KYM1,,1240166,soft_tissue,SIDM00552
ACH-000608,COV644,COV644,,,ovary,
ACH-000609,SF126,SF126,,909712,central_nervous_system,SIDM00382
ACH-000610,NCI-H2227,NCIH2227,,688018,lung,SIDM00730
ACH-000611,SU-DHL-6,SUDHL6,,1331037,ascites,SIDM00407
ACH-000613,HOS,HOS,,907060,bone,SIDM00806
ACH-000614,RVH-421,RVH421,,909706,central_nervous_system,SIDM00401
ACH-000615,SK-MEL-28,SKMEL28,,905954,skin,SIDM00081
ACH-000616,Hs 746T,HS746T,,1240151,soft_tissue,SIDM00665
ACH-000617,OVCAR-4,OVCAR4,,905990,ascites,SIDM00092
ACH-000618,SNU-1041,SNU1041,,,upper_aerodigestive_tract,SIDM00173
ACH-000619,PE/CA-PJ15,PECAPJ15,,1240207,upper_aerodigestive_tract,SIDM00473
ACH-000620,JHH-1,JHH1,,1298151,liver,SIDM00618
ACH-000621,MDA-MB-157,MDAMB157,,925338,pleural_effusion,SIDM00529
ACH-000622,KNS-42,KNS42,,907282,central_nervous_system,SIDM00607
ACH-000623,SNU-201,SNU201,,,central_nervous_system,SIDM00158
ACH-000624,HCC1806,HCC1806,,907047,breast,SIDM00875
ACH-000625,Hep 3B2.1-7,HEP3B217,,1240147,liver,SIDM00672
ACH-000626,U266B1,U266B1,,753615,haematopoietic_and_lymphoid_tissue,SIDM00417
ACH-000627,LCLC-103H,LCLC103H,,753586,pleural_effusion,SIDM00345
ACH-000628,NCI-H596,NCIH596,,908459,lung,SIDM01127
ACH-000630,YD-8,YD8,,,upper_aerodigestive_tract,
ACH-000631,KS-1,KS1,,907313,central_nervous_system,SIDM00555
ACH-000632,Hs 944.T,HS944T,,,skin,SIDM00063
ACH-000633,FU97,FU97,,1290806,stomach,SIDM00503
ACH-000636,RPMI-8402,RPMI8402,,909702,haematopoietic_and_lymphoid_tissue,SIDM00403
ACH-000637,KYSE-520,KYSE520,,753575,oesophagus,SIDM01025
ACH-000638,NCI-H441,NCIH441,,908460,pericardial_effusion,SIDM00925
ACH-000639,NCI-H211,NCIH211,,1240189,bone_marrow,SIDM00704
ACH-000640,SK-MEL-31,SKMEL31,,909727,skin,SIDM01104
ACH-000641,CMK,CMK,,910566,haematopoietic_and_lymphoid_tissue,SIDM00959
ACH-000643,HDQ-P1,HDQP1,,1290922,breast,SIDM01062
ACH-000644,COLO 829,COLO829,,687448,skin,SIDM00909
ACH-000646,OVMANA,OVMANA,,,ovary,
ACH-000647,TE-1,TE1,,753621,oesophagus,SIDM00369
ACH-000648,NCI-H28,NCIH28,,908470,pleural_effusion,SIDM00720
ACH-000649,786-O,786O,,905947,kidney,SIDM00125
ACH-000650,IGR-37,IGR37,,1240153,lymph_node,SIDM01066
ACH-000651,SW 620,SW620,,905962,lymph_node,SIDM00841
ACH-000652,SUIT-2,SUIT2,,1240219,liver,SIDM00371
ACH-000653,JJN-3,JJN3,,1327766,bone_marrow,SIDM01036
ACH-000654,Raji,RAJI,,909262,bone,SIDM00844
ACH-000655,SF268,SF268,,905986,central_nervous_system,SIDM00085
ACH-000656,SU-DHL-8,SUDHL8,,1331038,pleural_effusion,SIDM00423
ACH-000657,A2780,A2780,,906804,ovary,SIDM00210
ACH-000658,KMS-18,KMS18,,,haematopoietic_and_lymphoid_tissue,
ACH-000659,SCLC-21H,SCLC21H,,,pleural_effusion,SIDM00029
ACH-000660,SU-DHL-5,SUDHL5,,1331036,lymph_node,SIDM00406
ACH-000661,WM1799,WM1799,,,skin,
ACH-000662,COR-L23,CORL23,COR-L23/CPR,687780,pleural_effusion,SIDM00512
ACH-000663,OVTOKO,OVTOKO,,1298365,spleen,SIDM00425
ACH-000664,SU-DHL-1,SUDHL1,,909742,pleural_effusion,SIDM00390
ACH-000665,SK-MES-1,SKMES1,,909728,pleural_effusion,SIDM01103
ACH-000666,NCI-H1355,NCIH1355,,724866,pleural_effusion,SIDM00645
ACH-000667,HCC-44,HCC44,,1240145,lung,SIDM01069
ACH-000668,HCC70,HCC70,,907048,breast,SIDM00673
ACH-000669,SW 900,SW900,,724879,lung,SIDM01158
ACH-000670,SBC-5,SBC5,,713880,pleural_effusion,SIDM00368
ACH-000671,HuH-6,HUH6,,,liver,SIDM00062
ACH-000672,IA-LM,IALM,,910779,skin,SIDM00306
ACH-000673,LN-443,LN443,,,central_nervous_system,
ACH-000674,NUGC-4,NUGC4,,1298357,lymph_node,SIDM00570
ACH-000675,NCI-H1734,NCIH1734,,722058,lung,SIDM00739
ACH-000676,LN-464,LN464,,,central_nervous_system,SIDM00058
ACH-000677,SW 1573,SW1573,,724878,lung,SIDM01163
ACH-000678,MKN7,MKN7,,924250,lymph_node,SIDM00560
ACH-000679,OE-19,OE19,,910079,oesophagus,SIDM00479
ACH-000680,SW948,SW948,,909757,Colon,SIDM00832
ACH-000681,A549,A549,,905949,lung,SIDM00903
ACH-000682,SNU-1066,SNU1066,,,upper_aerodigestive_tract,SIDM00170
ACH-000683,SNU-503,SNU503,,,abdomen,SIDM00497
ACH-000684,KMRC-1,KMRC1,,1298168,kidney,SIDM00611
ACH-000686,SNU-878,SNU878,,,liver,
ACH-000687,CI-1,CI1,,,ascites,
ACH-000688,OV7,OV7,,1480360,ovary,SIDM00474
ACH-000689,RH-18,RH18,,971774,soft_tissue,SIDM00454
ACH-000690,HCC-2814,HCC2814,,,lung,
ACH-000691,HCC2157,HCC2157,,749715,breast,SIDM00774
ACH-000692,SNU-899,SNU899,,,upper_aerodigestive_tract,SIDM00169
ACH-000693,KYSE-180,KYSE180,,907318,oesophagus,SIDM01030
ACH-000694,TE-9,TE9,,946353,pleural_effusion,SIDM00325
ACH-000695,COR-L47,CORL47,,,bone_marrow,
ACH-000696,OVCAR-8,OVCAR8,,905991,ovary,SIDM00090
ACH-000697,A3/KAW,A3KAW,,910935,ascites,SIDM00495
ACH-000698,DMS 53,DMS53,,907295,lung,SIDM00523
ACH-000699,HCC1395,HCC1395,,749712,breast,SIDM00884
ACH-000700,,NCIH2882,NCI-H2882,,lung,
ACH-000701,RMUG-S,RMUGS,,,ovary,
ACH-000702,L-1236,L1236,,1330935,haematopoietic_and_lymphoid_tissue,SIDM00313
ACH-000703,DMS 79,DMS79,,753551,pleural_effusion,SIDM00524
ACH-000704,OAW42,OAW42,,910548,ascites,SIDM00480
ACH-000705,LC-1F,LC1F,LC-1/sq-SF,,lung,SIDM00298
ACH-000706,EKVX,EKVX,,905970,lung,SIDM00119
ACH-000707,P3HR-1,P3HR1,,,ascites,SIDM01254
ACH-000708,SNU-283,SNU283,,1659929,abdomen,SIDM00215
ACH-000711,JIMT-1,JIMT1,,1298157,pleural_effusion,SIDM01037
ACH-000712,HCC-1833,HCC1833,,,lung,
ACH-000713,Caov-3,CAOV3,,906825,ovary,SIDM00919
ACH-000714,KMS-11,KMS11,,1659817,pleural_effusion,SIDM00608
ACH-000715,SNU-1214,SNU1214,,,upper_aerodigestive_tract,SIDM00167
ACH-000716,TT2609-C02,TT2609C02,,1240223,thyroid,SIDM00418
ACH-000717,COLO-680N,COLO680N,,906817,oesophagus,SIDM00956
ACH-000718,NCI-H2291,NCIH2291,,724874,lymph_node,SIDM00728
ACH-000719,RMG-I,RMGI,,909699,ascites,SIDM00352
ACH-000720,TCCSUP,TCCSUP,,687459,urinary_tract,SIDM01190
ACH-000721,HMC-1-8,HMC18,,,pleural_effusion,
ACH-000722,SNU-C1,SNUC1,,910905,abdomen,SIDM01197
ACH-000724,HT-1376,HT1376,,907066,urinary_tract,SIDM00678
ACH-000725,HCC202,HCC202,,1290906,breast,SIDM00870
ACH-000727,NCI-H2066,NCIH2066,,1330973,lung,SIDM00711
ACH-000729,NCI-H1963,NCIH1963,H1963,688010,lung,SIDM00760
ACH-000730,SK-MEL-5,SKMEL5,,905956,lymph_node,SIDM00080
ACH-000731,HCC-2279,HCC2279,,,lung,
ACH-000732,PE/CA-PJ41 (clone D2),PECAPJ41CLONED2,,,upper_aerodigestive_tract,
ACH-000733,NCI-H1838,NCIH1838,,687807,lung,SIDM00769
ACH-000734,JHH-5,JHH5,,,liver,
ACH-000735,PE/CA-PJ49,PECAPJ49,,,upper_aerodigestive_tract,
ACH-000736,SNU-601,SNU601,,,ascites,
ACH-000738,GB-1,GB1,,687568,central_nervous_system,SIDM00581
ACH-000739,Hep G2,HEPG2,,,liver,SIDM00904
ACH-000740,A-253,A253,,906794,upper_aerodigestive_tract,SIDM00796
ACH-000742,,DM3,,,fibroblast,
ACH-000743,COR-L95,CORL95,,1297439,lung,SIDM00521
ACH-000744,NCI-H1623,NCIH1623,,687798,lymph_node,SIDM00747
ACH-000745,MOLP-8,MOLP8,,1330950,haematopoietic_and_lymphoid_tissue,SIDM00434
ACH-000746,GSS,GSS,,,liver,
ACH-000747,NCI-H1703,NCIH1703,,908474,lung,SIDM00740
ACH-000748,SJSA-1,SJSA1,,909717,bone,SIDM01112
ACH-000749,DMS 273,DMS273,,687985,pleural_effusion,SIDM00522
ACH-000750,LOX IMVI,LOXIMVI,,905974,lymph_node,SIDM00149
ACH-000751,OCI-M1,OCIM1,,1330985,haematopoietic_and_lymphoid_tissue,SIDM00458
ACH-000752,NCI-H196,NCIH196,,1240186,pleural_effusion,SIDM00761
ACH-000753,JMSU-1,JMSU1,,,ascites,
ACH-000754,L-428,L428,,907322,pleural_effusion,SIDM00327
ACH-000755,HCC2218,HCC2218,,749716,breast,SIDM00772
ACH-000756,GI-1,GI1,,906871,central_nervous_system,SIDM00273
ACH-000757,A427,A427,,910851,lung,SIDM00810
ACH-000758,MKN74,MKN74,,,liver,SIDM00248
ACH-000759,MDA-MB-175-VII,MDAMB175VII,,908120,pleural_effusion,SIDM00633
ACH-000760,LNZ308,LNZ308,,,central_nervous_system,SIDM00682
ACH-000762,YD-38,YD38,,,upper_aerodigestive_tract,
ACH-000763,MM1-S,MM1S,,1659818,haematopoietic_and_lymphoid_tissue,SIDM01265
ACH-000764,SH-10-TC,SH10TC,,,stomach,
ACH-000765,WM-983B,WM983B,,,lymph_node,
ACH-000766,NCI-H1648,NCIH1648,,687799,lymph_node,SIDM00746
ACH-000767,NCI-H526,NCIH526,,688025,bone_marrow,SIDM01128
ACH-000768,MDA-MB-231,MDAMB231,,905960,pleural_effusion,SIDM00146
ACH-000769,LK-2,LK2,,687787,lung,SIDM00548
ACH-000770,P31/FUJ,P31FUJ,,909253,haematopoietic_and_lymphoid_tissue,SIDM00363
ACH-000771,BICR 56,BICR56,,,upper_aerodigestive_tract,
ACH-000772,TE 441.T,TE441T,,924248,soft_tissue,SIDM01173
ACH-000773,Ki-JK,KIJK,,,pleural_effusion,
ACH-000774,RERF-LC-Ad2,RERFLCAD2,,,lung,
ACH-000775,NCI-H727,NCIH727,,724855,lung,SIDM01119
ACH-000776,ONS-76,ONS76,,909248,central_nervous_system,SIDM00567
ACH-000777,KYSE-30,KYSE30,,,oesophagus,SIDM00015
ACH-000778,HSC-3,HSC3,,907061,upper_aerodigestive_tract,SIDM00589
ACH-000779,,PC9,,,lung,SIDM00236
ACH-000780,NCI-H1105,NCIH1105,,908468,lymph_node,SIDM00652
ACH-000781,NCI-H2023,NCIH2023,,1240187,lymph_node,SIDM00753
ACH-000782,SEM,SEM,,,haematopoietic_and_lymphoid_tissue,
ACH-000783,CAMA-1,CAMA1,,946382,pleural_effusion,SIDM00920
ACH-000784,KYSE-70,KYSE70,,753576,oesophagus,SIDM01024
ACH-000785,NCI-H2126,NCIH2126,,,haematopoietic_and_lymphoid_tissue,SIDM00775
ACH-000786,Daudi,DAUDI,,906831,haematopoietic_and_lymphoid_tissue,SIDM00845
ACH-000787,LXF-289,LXF289,,753592,lung,SIDM00339
ACH-000788,A2058,A2058,,906792,lymph_node,SIDM00797
ACH-000789,NCI-H810,NCIH810,,925341,lung,SIDM01116
ACH-000790,SHP-77,SHP77,,724872,lung,SIDM01078
ACH-000791,RERF-LC-Ad1,RERFLCAD1,,,lung,
ACH-000792,BFTC-909,BFTC909,,910698,kidney,SIDM00988
ACH-000793,KATO III,KATOIII,,907276,pleural_effusion,SIDM00687
ACH-000794,BICR 22,BICR22,,1240121,lymph_node,SIDM00485
ACH-000795,MOLT-13,MOLT13,,908146,bone_marrow,SIDM00433
ACH-000796,MCAS,MCAS,,,ovary,SIDM00008
ACH-000798,CL-40,CL40,,1240124,Colon,SIDM00960
ACH-000799,Hs 695T,HS695T,,,lymph_node,
ACH-000800,NCI-H446,NCIH446,,688023,pleural_effusion,SIDM00965
ACH-000802,BFTC-905,BFTC905,,910926,urinary_tract,SIDM00989
ACH-000803,COLO 668,COLO668,,910692,central_nervous_system,SIDM00143
ACH-000804,NB-1,NB1,,949179,lymph_node,SIDM00578
ACH-000805,COLO-679,COLO679,,906818,skin,SIDM00284
ACH-000806,L-540,L540,,907323,bone_marrow,SIDM00329
ACH-000807,SNU-738,SNU738,,,central_nervous_system,
ACH-000809,KYSE-410,KYSE410,,753574,oesophagus,SIDM01028
ACH-000810,SK-MEL-30,SKMEL30,,909726,skin,SIDM00392
ACH-000811,SK-OV-3,SKOV3,,905959,ascites,SIDM00079
ACH-000812,COLO-783,COLO783,,1240125,lymph_node,SIDM00955
ACH-000814,Hs 939.T,HS939T,,1298144,skin,SIDM00663
ACH-000815,KM-H2,KMH2,,909976,pleural_effusion,SIDM01018
ACH-000816,NCI-H524,NCIH524,,908483,lymph_node,SIDM01129
ACH-000817,RPMI 8226,RPMI8226,,905964,haematopoietic_and_lymphoid_tissue,SIDM00087
ACH-000818,BT-483,BT483,,949093,breast,SIDM00892
ACH-000819,LN-18,LN18,,1240168,central_nervous_system,SIDM00685
ACH-000820,SW403,SW403,,,Colon,SIDM00836
ACH-000821,EJM,EJM,,1297447,ascites,SIDM01048
ACH-000822,SK-MEL-24,SKMEL24,,909725,lymph_node,SIDM01106
ACH-000823,KYSE-140,KYSE140,,753573,oesophagus,SIDM01032
ACH-000824,KYSE-510,KYSE510,,907321,oesophagus,SIDM01026
ACH-000825,HOP-92,HOP92,,905973,lung,SIDM00134
ACH-000826,CAL-12T,CAL12T,,753540,lung,SIDM00939
ACH-000827,WM-793,WM793,,1299081,skin,SIDM00973
ACH-000828,ZR-75-30,ZR7530,,909907,ascites,SIDM00971
ACH-000829,HuNS1,HUNS1,,,haematopoietic_and_lymphoid_tissue,
ACH-000830,NCI-H1436,NCIH1436,,908469,lymph_node,SIDM00697
ACH-000831,HEC-50B,HEC50B,,,ascites,
ACH-000832,CAL 27,CAL27,,910916,upper_aerodigestive_tract,SIDM00937
ACH-000833,RH-30,RH30,,,bone_marrow,
ACH-000834,UM-UC-1,UMUC1,,,lymph_node,
ACH-000835,GCT,GCT,,906999,soft_tissue,SIDM00853
ACH-000836,YD-15,YD15,,,salivary_gland,
ACH-000838,AMO-1,AMO1,,1295741,ascites,SIDM00993
ACH-000839,SCaBER,SCABER,,,urinary_tract,SIDM00032
ACH-000840,HCC-366,HCC366,,1240144,lung,SIDM01070
ACH-000841,NCI-H2087,NCIH2087,,724834,lymph_node,SIDM00708
ACH-000842,SW 480,SW480,,,lymph_node,SIDM00840
ACH-000843,HARA,HARA,,1240142,pleural_effusion,SIDM00598
ACH-000844,DMS 454,DMS454,,,lung,
ACH-000846,FaDu,FADU,,906863,upper_aerodigestive_tract,SIDM00860
ACH-000847,HGC-27,HGC27,,907055,lymph_node,SIDM00290
ACH-000848,JHH-7,JHH7,,1240160,liver,SIDM00614
ACH-000849,MDA-MB-468,MDAMB468,,908123,pleural_effusion,SIDM00628
ACH-000851,MOR/CPR,MORCPR,,,lung,
ACH-000852,NCI-H1435,NCIH1435,,1298347,lung,SIDM00658
ACH-000853,NCI-H661,NCIH661,,687829,lymph_node,SIDM01122
ACH-000855,KYSE-150,KYSE150,,907317,oesophagus,SIDM01031
ACH-000856,CAL-51,CAL51,,910927,pleural_effusion,SIDM00933
ACH-000857,CAL-85-1,CAL851,,910852,breast,SIDM00928
ACH-000858,KNS-62,KNS62,,753569,central_nervous_system,SIDM00606
ACH-000859,HCC1954,HCC1954,,749709,breast,SIDM00872
ACH-000860,NCI-H358,NCIH358,,908465,lung,SIDM00718
ACH-000861,HOP-62,HOP62,,905972,lung,SIDM00133
ACH-000862,KMBC-2,KMBC2,,,urinary_tract,
ACH-000863,DBTRG-05MG,DBTRG05MG,,906835,central_nervous_system,SIDM00867
ACH-000864,COLO 684,COLO684,,910691,endometrium,SIDM00142
ACH-000865,KYSE-450,KYSE450,,907320,oesophagus,SIDM01027
ACH-000866,NCI-H1048,NCIH1048,,687995,pleural_effusion,SIDM00654
ACH-000867,ChaGo-K-1,CHAGOK1,,687596,lung,SIDM00924
ACH-000868,HCC-1195,HCC1195,,,lung,
ACH-000869,NCI-H1568,NCIH1568,,1298348,lymph_node,SIDM00750
ACH-000871,NCI-H510,NCIH510,,753605,autonomic_ganglia,SIDM00927
ACH-000872,HCC515,HCC515,,,lung,
ACH-000873,KYSE-270,KYSE270,,907319,oesophagus,SIDM01029
ACH-000874,RS4;11,RS411,,909703,bone_marrow,SIDM01086
ACH-000875,NCI-H2347,NCIH2347,,687820,lung,SIDM00726
ACH-000876,MDA-MB-415,MDAMB415,,924240,pleural_effusion,SIDM00630
ACH-000877,EB1,EB1,,,bone,SIDM00862
ACH-000878,HCC-15,HCC15,,1240143,lung,SIDM01072
ACH-000879,MFE-296,MFE296,,908130,endometrium,SIDM00334
ACH-000880,AGS,AGS,,906790,stomach,SIDM00850
ACH-000881,MEL-JUSO,MELJUSO,,908125,skin,SIDM00336
ACH-000882,IGR-1,IGR1,,907169,lymph_node,SIDM01060
ACH-000883,SW 1783,SW1783,,909750,central_nervous_system,SIDM01164
ACH-000884,MDA-MB-435S,MDAMB435S,,,skin,SIDM01222
ACH-000885,TOV-21G,TOV21G,,1240222,ovary,SIDM01169
ACH-000886,NCI-H2009,NCIH2009,,724873,lymph_node,SIDM00756
ACH-000887,SF-172,SF172,,,central_nervous_system,
ACH-000888,NCI-H1793,NCIH1793,,908463,lung,SIDM00755
ACH-000889,KMM-1,KMM1,,,haematopoietic_and_lymphoid_tissue,
ACH-000890,SW 1271,SW1271,,1299062,lung,SIDM01156
ACH-000891,HCC-1438,HCC1438,,,lung,
ACH-000892,NCI-H1563,NCIH1563,,753600,lung,SIDM00751
ACH-000893,NCI-H1651,NCIH1651,,910900,lung,SIDM00744
ACH-000894,NCI-H1869,NCIH1869,,1240183,pleural_effusion,SIDM00768
ACH-000895,CL-34,CL34,,1290771,Colon,SIDM00945
ACH-000896,647-V,647V,,906797,urinary_tract,SIDM00983
ACH-000897,FTC-238,FTC238,,,lung,SIDM00228
ACH-000898,SNU-719,SNU719,,,stomach,
ACH-000900,NCI-H23,NCIH23,,905942,lung,SIDM00138
ACH-000901,HCC-1359,HCC1359,,,lung,
ACH-000902,CAL-148,CAL148,,924106,pleural_effusion,SIDM00938
ACH-000903,FTC-133,FTC133,,906864,thyroid,SIDM00213
ACH-000905,5637,5637,,687452,urinary_tract,SIDM00807
ACH-000906,ES-2,ES2,,1240128,ovary,SIDM00861
ACH-000907,SNU-349,SNU349,,,kidney,
ACH-000910,MDA-MB-453,MDAMB453,,908122,pericardial_effusion,SIDM00272
ACH-000911,NUGC-3,NUGC3,,908455,soft_tissue,SIDM00572
ACH-000912,NCI-H2286,NCIH2286,,,lung,SIDM00017
ACH-000913,ESS-1,ESS1,,907000,endometrium,SIDM01043
ACH-000914,HT,HT,,907063,ascites,SIDM00661
ACH-000915,IPC-298,IPC298,,907171,skin,SIDM01059
ACH-000916,NCI-H1573,NCIH1573,,908472,soft_tissue,SIDM00749
ACH-000917,TE-4,TE4,,1503371,lymph_node,SIDM00250
ACH-000918,MOLT-16,MOLT16,,908147,haematopoietic_and_lymphoid_tissue,SIDM00431
ACH-000919,IM95,IM95,,1240155,stomach,SIDM00602
ACH-000920,CML-T1,CMLT1,,910951,haematopoietic_and_lymphoid_tissue,SIDM00958
ACH-000921,NCI-H157-DM,NCIH157DM,,,pleural_effusion,
ACH-000922,RCH-ACV,RCHACV,,1330994,bone_marrow,SIDM00449
ACH-000923,BCP-1,BCP1,,,haematopoietic_and_lymphoid_tissue,
ACH-000924,NCI-H2172,NCIH2172,,1298353,lung,SIDM00926
ACH-000925,DV-90,DV90,,,pleural_effusion,
ACH-000926,HT55,HT55,,907287,large_intestine,SIDM00541
ACH-000927,BT-474,BT474,,946359,breast,SIDM00963
ACH-000928,JHUEM-1,JHUEM1,,,endometrium,
ACH-000929,NCI-H2110,NCIH2110,,1298351,pleural_effusion,SIDM00703
ACH-000930,HCC1569,HCC1569,,907046,breast,SIDM00878
ACH-000931,HMCB,HMCB,CHL-1,,skin,SIDM00914
ACH-000932,SNU-1,SNU1,,908444,stomach,SIDM01146
ACH-000933,SNU-324,SNU324,,,pancreas,
ACH-000934,MDA-MB-361,MDAMB361,,908121,central_nervous_system,SIDM00528
ACH-000935,MDST8,MDST8,,1240173,large_intestine,SIDM00527
ACH-000936,EFO-27,EFO27,,906852,abdomen,SIDM01051
ACH-000937,PF-382,PF382,,909260,pleural_effusion,SIDM00451
ACH-000938,NALM-6,NALM6,,908158,haematopoietic_and_lymphoid_tissue,SIDM00429
ACH-000939,SK-UT-1,SKUT1,,909732,endometrium,SIDM01113
ACH-000940,AN3 CA,AN3CA,,910781,endometrium,SIDM00901
ACH-000941,HEC-1-B,HEC1B,,,endometrium,SIDM01241
ACH-000942,HPB-ALL,HPBALL,,,haematopoietic_and_lymphoid_tissue,
ACH-000943,RKO,RKO,,909698,Colon,SIDM01090
ACH-000944,NAMALWA,NAMALWA,,908159,haematopoietic_and_lymphoid_tissue,SIDM00641
ACH-000945,NCI-H650,NCIH650,,722066,lung,SIDM01124
ACH-000946,HEC-265,HEC265,,,endometrium,
ACH-000947,OVK18,OVK18,,1480371,ascites,SIDM00238
